BlockNumber, TaskNumber, EmotionalExpression, PositionExpression, Avatar, ReactionTime, ResponsePosition
3,3,afraid,left,old,0,9851971,left
3,2,afraid,right,old,0,8610477,right
3,1,afraid,right,young,0,9376907,left
3,0,sad,right,young,0,7373371,right
2,3,afraid,left,young,0,7248917,right
2,2,angry,right,young,0,5624924,left
2,1,angry,right,young,1,202202,right
2,0,sad,right,young,0,9197693,left
1,3,sad,left,young,0,8480759,right
1,2,sad,right,young,0,5254784,left
1,1,afraid,right,young,0,4818077,right
1,0,happy,right,old,0,3393211,right
