BlockNumber; TaskNumber; EmotionalExpression; PositionExpression; NeutralAvatar; ReactionTime; ResponsePosition
3;3;angry;left;young;1,90526;right
3;2;happy;right;old;3,832704;left
3;1;sad;right;young;0,8748283;left
3;0;angry;left;young;1,617533;right
2;3;happy;right;old;3,286263;left
2;2;afraid;left;young;0,9225159;right
2;1;sad;right;young;1,645363;right
2;0;afraid;left;young;3,418362;right
1;3;happy;right;old;0,415596;right
1;2;sad;right;young;0,7990417;left
1;1;angry;left;young;0,5480499;left
1;0;afraid;left;young;0,457016;left
