BlockNumber, TaskNumber, EmotionalExpression, PositionExpression, NeutralAvatar, ReactionTime, ResponsePosition
5,3,sad,right,young,2.554625,left
5,2,angry,left,young,2.554625,right
5,1,happy,right,old,2.554625,right
5,0,afraid,left,young,2.554625,right
4,4,afraid,left,young,2.554625,right
4,3,angry,left,young,2.554625,right
4,2,angry,left,young,2.554625,right
4,1,afraid,left,young,2.554625,right
4,0,happy,right,old,5,noResponse
3,4,sad,right,young,2.811745,left
3,3,happy,right,old,2.811745,right
3,2,happy,right,old,2.811745,right
3,1,afraid,left,young,2.811745,right
3,0,angry,left,young,2.811745,right
2,4,sad,right,young,3.144562,left
2,3,sad,right,young,3.286606,left
2,2,sad,right,young,1.534569,left
2,1,happy,right,old,2.167259,left
2,0,angry,left,young,2.167259,right
1,4,sad,right,young,2.054977,left
1,3,afraid,left,young,2.054977,right
1,2,afraid,left,young,2.054977,right
1,1,angry,left,young,2.054977,right
1,0,happy,right,old,3.722305,left
